track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Swing On This,Jar Of Flies,extended play,1994,Alice In Chains,244,0.0438,0.412,0.759,0.0995,5,0.352,-8.045,1,0.0411,129.742,4,0.447
Them Bones,Dirt,studio album,1992,Alice In Chains,149,0.0235,0.159,0.946,8.06e-06,9,0.387,-5.756,1,0.0629,165.014,1,0.309
Dam That River,Dirt,studio album,1992,Alice In Chains,189,0.00636,0.427,0.913,0.0,6,0.471,-5.545,0,0.0804,124.419,4,0.471
Rain When I Die,Dirt,studio album,1992,Alice In Chains,361,0.0183,0.422,0.859,0.000673,9,0.209,-6.778,1,0.0757,120.078,3,0.203
Down In A Hole,Dirt,studio album,1992,Alice In Chains,338,0.0134,0.357,0.795,0.00013,6,0.111,-5.909,1,0.0337,97.171,4,0.416
Sickman,Dirt,studio album,1992,Alice In Chains,329,0.00743,0.287,0.912,0.00069,1,0.0871,-5.553,1,0.0954,139.106,3,0.274
Rooster,Dirt,studio album,1992,Alice In Chains,374,0.0307,0.271,0.551,0.000581,3,0.118,-8.46,1,0.0272,143.899,3,0.2
Junkhead,Dirt,studio album,1992,Alice In Chains,309,0.0013,0.298,0.776,0.000271,11,0.096,-7.171,1,0.0376,140.453,4,0.245
Dirt,Dirt,studio album,1992,Alice In Chains,316,0.00323,0.258,0.926,5.15e-06,1,0.13,-5.901,1,0.0761,112.643,4,0.251
God Smack,Dirt,studio album,1992,Alice In Chains,230,0.0138,0.515,0.928,0.0,10,0.107,-6.392,0,0.0694,124.058,4,0.389
Untitled,Dirt,studio album,1992,Alice In Chains,43,0.401,0.11,0.424,0.269,3,0.658,-7.243,1,0.0408,85.946,1,0.416
Hate To Feel,Dirt,studio album,1992,Alice In Chains,316,0.115,0.293,0.909,0.0,8,0.0512,-5.394,1,0.0955,138.561,4,0.114
Angry Chair,Dirt,studio album,1992,Alice In Chains,287,0.0419,0.325,0.936,0.0,8,0.0415,-6.295,1,0.0848,106.988,4,0.159
Would?,Dirt,studio album,1992,Alice In Chains,206,0.000327,0.305,0.833,2.36e-05,6,0.091,-7.981,1,0.0398,100.675,4,0.586
