track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Got Me Wrong,The Essential Alice In Chains,compilation album,2006,Alice In Chains,250,0.14,0.489,0.915,0.000969,8,0.197,-4.925,1,0.0568,83.352,4,0.231
Right Turn,The Essential Alice In Chains,compilation album,2006,Alice In Chains,194,0.199,0.498,0.397,0.0,8,0.178,-7.441,1,0.024,96.435,4,0.238
Rain When I Die,The Essential Alice In Chains,compilation album,2006,Alice In Chains,362,0.0397,0.408,0.92,0.000799,9,0.133,-5.169,1,0.0988,120.053,3,0.136
Them Bones,The Essential Alice In Chains,compilation album,2006,Alice In Chains,150,0.0209,0.154,0.951,4.18e-05,9,0.238,-4.557,1,0.0658,165.249,1,0.328
Angry Chair,The Essential Alice In Chains,compilation album,2006,Alice In Chains,288,0.0642,0.313,0.973,1.22e-06,8,0.0581,-3.855,1,0.109,107.3,4,0.118
Dam That River,The Essential Alice In Chains,compilation album,2006,Alice In Chains,189,0.00671,0.426,0.939,0.0,6,0.412,-4.174,0,0.0732,124.317,4,0.457
Dirt,The Essential Alice In Chains,compilation album,2006,Alice In Chains,316,0.0207,0.241,0.965,4.79e-06,1,0.177,-3.49,1,0.0925,112.616,4,0.168
God Smack,The Essential Alice In Chains,compilation album,2006,Alice In Chains,230,0.0637,0.496,0.969,7.73e-06,10,0.102,-3.785,0,0.117,124.046,4,0.198
Hate To Feel,The Essential Alice In Chains,compilation album,2006,Alice In Chains,316,0.231,0.28,0.942,0.0,8,0.0693,-4.238,1,0.0989,138.719,4,0.0773
Rooster,The Essential Alice In Chains,compilation album,2006,Alice In Chains,376,0.153,0.254,0.628,0.00202,3,0.123,-5.721,1,0.0274,146.004,4,0.148
No Excuses,The Essential Alice In Chains,compilation album,2006,Alice In Chains,256,0.0278,0.528,0.852,0.000211,3,0.0785,-4.923,1,0.0311,117.428,4,0.727
I Stay Away,The Essential Alice In Chains,compilation album,2006,Alice In Chains,254,0.104,0.177,0.84,0.000375,6,0.0883,-5.295,1,0.043,80.428,4,0.321
What the Hell Have I - Remix,The Essential Alice In Chains,compilation album,2006,Alice In Chains,234,0.00607,0.203,0.818,0.000207,8,0.17,-5.223,1,0.0376,200.54,4,0.644
A Little Bitter - Remix,The Essential Alice In Chains,compilation album,2006,Alice In Chains,228,0.0152,0.416,0.942,3.54e-05,8,0.083,-6.152,1,0.23,122.784,4,0.313
Grind,The Essential Alice In Chains,compilation album,2006,Alice In Chains,286,0.000229,0.381,0.915,0.000648,11,0.425,-4.611,1,0.0411,88.321,4,0.381
Heaven Beside You,The Essential Alice In Chains,compilation album,2006,Alice In Chains,329,0.00239,0.539,0.784,0.000736,10,0.114,-4.571,0,0.0352,111.257,4,0.484
Again,The Essential Alice In Chains,compilation album,2006,Alice In Chains,245,0.000635,0.543,0.91,0.0231,7,0.158,-5.339,1,0.0537,123.158,4,0.365
Over Now,The Essential Alice In Chains,compilation album,2006,Alice In Chains,356,0.0978,0.645,0.561,0.0424,5,0.692,-7.716,0,0.0276,111.559,4,0.25
Nutshell,The Essential Alice In Chains,compilation album,2006,Alice In Chains,272,0.224,0.383,0.503,0.113,3,0.976,-11.069,0,0.0311,122.417,3,0.237
Get Born Again,The Essential Alice In Chains,compilation album,2006,Alice In Chains,324,0.00134,0.337,0.866,0.0334,8,0.123,-6.481,1,0.0543,102.672,4,0.285
Died,The Essential Alice In Chains,compilation album,2006,Alice In Chains,357,0.0401,0.451,0.805,0.00273,8,0.0789,-6.525,1,0.0336,104.562,4,0.488
Would?,The Essential Alice In Chains,compilation album,2006,Alice In Chains,208,0.00699,0.293,0.924,0.000614,6,0.0566,-5.437,1,0.0637,100.309,4,0.478
Get Born Again,Nothing Safe,box set,1999,Alice In Chains,327,0.00163,0.342,0.861,0.0497,8,0.159,-6.657,1,0.0533,102.917,4,0.298
We Die Young,Nothing Safe,box set,1999,Alice In Chains,146,0.000464,0.333,0.948,1.12e-06,1,0.0364,-6.278,0,0.0673,132.647,4,0.342
Man in the Box,Nothing Safe,box set,1999,Alice In Chains,286,0.00233,0.349,0.833,4.76e-06,8,0.0579,-6.441,1,0.0467,106.428,4,0.7
Them Bones,Nothing Safe,box set,1999,Alice In Chains,149,0.0224,0.162,0.949,7.18e-06,9,0.386,-5.227,1,0.0611,164.622,1,0.301
Iron Gland,Nothing Safe,box set,1999,Alice In Chains,44,0.31,0.172,0.541,0.616,3,0.799,-6.441,1,0.0481,97.804,3,0.455
Angry Chair,Nothing Safe,box set,1999,Alice In Chains,286,0.0437,0.325,0.948,0.0,8,0.0392,-5.081,1,0.0955,107.264,4,0.157
Down in a Hole,Nothing Safe,box set,1999,Alice In Chains,337,0.014,0.358,0.819,0.000141,6,0.124,-5.495,1,0.0328,97.197,4,0.434
Rooster,Nothing Safe,box set,1999,Alice In Chains,413,0.00545,0.26,0.619,0.00832,8,0.723,-8.4,1,0.0382,137.304,3,0.181
Got Me Wrong,Nothing Safe,box set,1999,Alice In Chains,263,0.0761,0.579,0.683,4.96e-05,8,0.936,-7.535,1,0.0281,81.764,4,0.328
No Excuses,Nothing Safe,box set,1999,Alice In Chains,255,0.0185,0.524,0.837,0.000648,3,0.0877,-5.342,1,0.0322,117.432,4,0.715
I Stay Away,Nothing Safe,box set,1999,Alice In Chains,254,0.0436,0.197,0.784,0.00359,6,0.0839,-6.229,1,0.0418,81.778,4,0.285
What the Hell Have I,Nothing Safe,box set,1999,Alice In Chains,237,0.00127,0.445,0.917,0.0028,8,0.356,-4.683,1,0.0407,100.254,4,0.564
Grind,Nothing Safe,box set,1999,Alice In Chains,284,0.000163,0.239,0.906,0.000418,11,0.457,-4.662,1,0.0488,176.333,4,0.385
Again,Nothing Safe,box set,1999,Alice In Chains,246,0.000808,0.547,0.906,0.0119,7,0.115,-5.24,1,0.0534,123.185,4,0.381
Would?,Nothing Safe,box set,1999,Alice In Chains,208,0.000369,0.305,0.853,7.54e-06,6,0.0548,-7.156,1,0.0499,101.062,4,0.637
