,track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
35,Burden In My Hand - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,292,0.0288,0.195,0.835,0.000219,7,0.725,-9.471,0,0.0514,96.583,4,0.332
36,A Thousand Days Before - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,298,0.000346,0.359,0.857,0.13,5,0.866,-9.947,1,0.07,119.427,4,0.293
37,Blood On The Valley Floor - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,234,0.0675,0.266,0.88,0.00143,5,0.798,-9.172,1,0.0603,140.325,4,0.393
38,Rusty Cage - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,300,0.0156,0.249,0.922,0.00287,7,0.885,-9.666,1,0.0806,108.205,4,0.176
39,New Damage - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,402,0.0759,0.366,0.799,0.000574,7,0.928,-9.989,1,0.0755,121.72,3,0.183
40,4th Of July - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,525,0.249,0.236,0.652,0.000416,5,0.906,-10.67,0,0.0511,140.844,4,0.116
41,Outshined - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,340,0.00835,0.373,0.851,0.00361,7,0.553,-9.514,1,0.0511,96.854,4,0.323
42,Black Hole Sun - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,350,0.0127,0.365,0.747,0.00109,7,0.35,-9.766,1,0.0402,107.596,4,0.249
43,Ty Cobb - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,188,0.000197,0.325,0.974,0.083,4,0.905,-9.303,0,0.125,141.332,4,0.0898
44,Slaves & Bulldozers - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,637,0.00266,0.282,0.832,0.027,7,0.824,-9.733,1,0.0549,144.505,4,0.387
45,Feedbacchanal - Live From The Artists Den,Live From The Artists Den,album,2019,Soundgarden,260,6.59e-05,0.16,0.135,0.973,9,0.74,-11.635,0,0.0471,128.863,3,0.197
46,Flower,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,206,0.00241,0.47,0.789,0.0265,7,0.258,-5.468,1,0.0562,100.787,4,0.336
47,All Your Lies,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,229,1.56e-05,0.362,0.921,0.132,4,0.319,-4.617,0,0.0724,91.717,4,0.319
48,665,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,98,0.0431,0.497,0.754,0.609,7,0.148,-11.452,1,0.0536,111.775,4,0.394
49,Beyond the Wheel,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,262,0.00982,0.327,0.732,0.159,2,0.217,-7.009,1,0.0402,145.725,4,0.256
50,667,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,55,0.0119,0.603,0.521,0.232,7,0.093,-14.031,1,0.0406,112.262,4,0.164
