track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_album,writers,track_title,album_title,album_release_date,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
He Didn't,Ultramega OK,album,2017,Soundgarden,167,0.0139,0.452,0.939,0.000547,9,0.355,-4.136,0,0.0502,140.437,3,0.776,he didn't ultramega ok,"Chris Cornell, Matt Cameron",He Didn't,Ultramega OK,1988.0,"Matt Cameron, Chris Cornell",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Smokestack Lightning,Ultramega OK,album,2017,Soundgarden,276,0.000625,0.402,0.781,0.00662,2,0.0978,-5.873,1,0.03,74.422,4,0.589,smokestack lightning ultramega ok,Chester Burnett,Smokestack Lightning,Ultramega OK,1988.0,"Chester Burnett, Howlin' Wolf",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Organic, Paranoid, Self-Conscious, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Regret, Introspection, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Nazi Driver,Ultramega OK,album,2017,Soundgarden,232,0.000276,0.383,0.934,1.98e-05,4,0.136,-5.575,0,0.106,80.934,4,0.217,nazi driver ultramega ok,"Chris Cornell, Hiro Yamamoto",Nazi Driver,Ultramega OK,1988.0,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Head Injury,Ultramega OK,album,2017,Soundgarden,140,0.000931,0.515,0.874,0.679,8,0.103,-7.593,0,0.0768,117.446,4,0.659,head injury ultramega ok,Chris Cornell,Head Injury,Ultramega OK,1988.0,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Head Injury,Ultramega OK,album,2017,Soundgarden,140,0.000931,0.515,0.874,0.679,8,0.103,-7.593,0,0.0768,117.446,4,0.659,head injury ultramega ok,Chris Cornell,Head Injury,Ultramega OK,1988.0,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,album,2017,Soundgarden,381,3.84e-05,0.219,0.786,0.000114,11,0.117,-5.524,0,0.0413,97.096,3,0.144,incessant mace ultramega ok,"Chris Cornell, Kim Thayil",Incessant Mace,Ultramega OK,1988.0,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,album,2017,Soundgarden,381,3.84e-05,0.219,0.786,0.000114,11,0.117,-5.524,0,0.0413,97.096,3,0.144,incessant mace ultramega ok,"Chris Cornell, Kim Thayil",Incessant Mace,Ultramega OK,1988.0,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,album,2017,Soundgarden,381,3.84e-05,0.219,0.786,0.000114,11,0.117,-5.524,0,0.0413,97.096,3,0.144,incessant mace ultramega ok,"Chris Cornell, Kim Thayil",Incessant Mace,Ultramega OK,1988.0,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
One Minute of Silence,Ultramega OK,album,2017,Soundgarden,62,0.156,0.16,0.344,0.931,6,0.285,-43.205,1,0.0757,130.582,4,0.0042,one minute of silence ultramega ok,John Lennon,One Minute of Silence,Ultramega OK,1988.0,John Lennon,,,"Atmospheric, Calm/Peaceful, Ethereal, Reflective, Delicate, Laid-Back/Mellow",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987.0,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Head Injury - Early Version,Ultramega OK,album,2017,Soundgarden,179,6.43e-05,0.433,0.97,0.888,8,0.148,-3.832,1,0.0618,102.796,4,0.534,head injury - early version ultramega ok,,,,,,,,,,,,,,,,
Beyond the Wheel - Early Version,Ultramega OK,album,2017,Soundgarden,295,0.00824,0.436,0.876,0.0654,2,0.109,-5.041,1,0.0615,125.582,4,0.199,beyond the wheel - early version ultramega ok,,,,,,,,,,,,,,,,
Incessant Mace (Short) - Early Version,Ultramega OK,album,2017,Soundgarden,382,0.000266,0.224,0.785,0.473,9,0.0789,-6.639,1,0.0348,96.181,4,0.312,incessant mace (short) - early version ultramega ok,,,,,,,,,,,,,,,,
He Didn't - Early Version,Ultramega OK,album,2017,Soundgarden,174,1.64e-05,0.215,0.984,0.0012,1,0.376,-5.22,0,0.0884,139.273,3,0.475,he didn't - early version ultramega ok,,,,,,,,,,,,,,,,
All Your Lies - Early Version,Ultramega OK,album,2017,Soundgarden,224,1.44e-05,0.271,0.961,0.174,4,0.256,-5.511,0,0.0826,92.671,4,0.389,all your lies - early version ultramega ok,,,,,,,,,,,,,,,,
Incessant Mace (Long) - Early Version,Ultramega OK,album,2017,Soundgarden,469,0.0546,0.204,0.861,0.871,9,0.0908,-6.708,1,0.0602,165.724,3,0.237,incessant mace (long) - early version ultramega ok,,,,,,,,,,,,,,,,
Rusty Cage,Badmotorfinger,album,2016,Soundgarden,266,1.65e-05,0.307,0.917,0.00044,9,0.0566,-7.599,1,0.0977,101.879,4,0.266,rusty cage badmotorfinger,Chris Cornell,Rusty Cage,Badmotorfinger,1991.0,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative/Indie Rock, Grunge, Heavy Metal","Confrontational, Intense, Reflective, Aggressive, Cathartic, Dramatic, Menacing, Visceral, Angst-Ridden, Fiery, Harsh, Plaintive, Uncompromising","Empowerment, Freedom, Motivation, Victory, Exercise/Workout, Guys Night Out, Hanging Out, Homecoming, Revolution, Sports, The Great Outdoors, Cool & Cocky",58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
Outshined,Badmotorfinger,album,2016,Soundgarden,311,0.000173,0.485,0.841,0.00686,2,0.125,-6.068,0,0.0307,94.867,4,0.551,outshined badmotorfinger,Chris Cornell,Outshined,Badmotorfinger,1991.0,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Grunge, Heavy Metal, Alternative/Indie Rock","Angst-Ridden, Bitter, Paranoid, Self-Conscious, Cerebral, Gloomy, Ominous, Suffocating, Tense/Anxious, Urgent, Aggressive, Fiery, Harsh, Literate, Snide, Acerbic, Confrontational, Earnest, Organic, Hostile, Volatile","Empowerment, Exercise/Workout, Feeling Blue, Guys Night Out, Motivation, Sports",58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
Slaves & Bulldozers,Badmotorfinger,album,2016,Soundgarden,416,3.86e-05,0.476,0.731,0.00213,0,0.305,-6.053,1,0.0336,130.981,4,0.215,slaves & bulldozers badmotorfinger,"Chris Cornell, Ben Shepherd",Slaves & Bulldozers,Badmotorfinger,1991.0,"Chris Cornell, Ben Shepherd",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Bitter, Paranoid, Earnest, Harsh, Hostile, Tense/Anxious, Urgent, Volatile, Aggressive, Gloomy, Literate, Snide, Acerbic, Angst-Ridden, Cerebral, Confrontational, Fiery, Organic, Self-Conscious","Imagination, Guys Night Out, In Love, Introspection, Reflection",58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
Jesus Christ Pose,Badmotorfinger,album,2016,Soundgarden,351,6.66e-06,0.341,0.965,0.723,9,0.317,-5.976,1,0.107,134.328,4,0.273,jesus christ pose badmotorfinger,"Chris Cornell, Kim Thayil, Ben Shepherd, Matt Cameron",Jesus Christ Pose,Badmotorfinger,1991.0,"Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil",Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal, Hard Rock, Stoner Metal","Angst-Ridden, Anguished/Distraught, Bleak, Brooding, Confrontational, Fierce, Gloomy, Harsh, Hostile, Intense, Nihilistic, Ominous, Somber, Tense/Anxious, Uncompromising, Unsettling, Urgent, Visceral, Rebellious","Loss/Grief, Politics/Society, Scary Music",58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
Face Pollution,Badmotorfinger,album,2016,Soundgarden,143,5.07e-06,0.227,0.968,0.749,0,0.353,-5.483,1,0.133,117.771,4,0.485,face pollution badmotorfinger,"Chris Cornell, Ben Shepherd",Face Pollution,Badmotorfinger,1991.0,"Chris Cornell, Ben Shepherd",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Bitter, Confrontational, Paranoid, Earnest, Fiery, Harsh, Hostile, Tense/Anxious, Urgent, Volatile, Aggressive, Gloomy, Literate, Snide, Acerbic, Angst-Ridden, Cerebral, Organic, Self-Conscious","Exercise/Workout, Guys Night Out",58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
Somewhere,Badmotorfinger,album,2016,Soundgarden,261,0.000458,0.158,0.915,0.0145,9,0.487,-6.066,1,0.124,178.307,4,0.388,somewhere badmotorfinger,Ben Shepherd,Somewhere,Badmotorfinger,1991.0,Ben Shepherd,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Bitter, Paranoid, Cerebral, Earnest, Harsh, Hostile, Self-Conscious, Tense/Anxious, Urgent, Volatile, Aggressive, Gloomy, Literate, Confrontational, Acerbic, Angst-Ridden, Fiery, Organic, Snide",,58:47,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1991.0," A & M Studios, Los Angeles, CA A&M Studios, Hollywood, CA Bear Creek Studio, Woodinville, WA  See More  Studio D, Sausalito, CA","Bitter, Fierce, Menacing, Paranoid, Aggressive, Cathartic, Earnest, Literate, Tense/Anxious, Urgent, Volatile, Cerebral, Gloomy, Harsh, Hostile, Intense, Acerbic, Angst-Ridden, Confrontational, Fiery, Organic","Guys Night Out, Introspection, Reflection",4.5
