track_title,album_title,writers,release_year
Smokestack Lightning,Ultramega OK,Chester Burnett,1988
Somewhere,Badmotorfinger,Ben Shepherd,1991
A Splice of Space Jam,"Blow Up the Outside World""","Chris Cornell, Kim Thayil, Ben Shepherd, Matt Cameron",1996
Spoonman,Superunknown,Chris Cornell,1994
Storm,Echo of Miles: ScatteredTracks Across the Path,"Chris Cornell, Kim Thayil",2014
Stray Cat Blues,"Jesus Christ Pose""","Mick Jagger, Keith Richards",1991
Sub Pop Rock City,Sub Pop 200,"Chris Cornell, Kim Thayil, Hiro Yamamoto, Matt Cameron",1988
Superunknown,Superunknown,"Chris Cornell, Kim Thayil",1994
Swallow My Pride,Fopp,"Mark Arm, Steve Turner",1988
Switch Opens,Down on the Upside,"Chris Cornell, Ben Shepherd",1996
Taree,King Animal,"Chris Cornell, Ben Shepherd",2012
Tears to Forget,Deep Six,"Chris Cornell, Kim Thayil, Hiro Yamamoto",1986
The Telephantasm,Telephantasm,Kim Thayil,2010
A Thousand Days Before,King Animal,"Chris Cornell, Kim Thayil",2012
Tighter & Tighter,Down on the Upside,Chris Cornell,1996
Touch Me,"Rusty Cage""","Mike Hurst, Ray Fenwick",1992
Toy Box,"Flower""","Kim Thayil, Hiro Yamamoto",1989
Twin Tower,Echo of Miles: ScatteredTracks Across the Path,Matt Cameron,2014
Ty Cobb,Down on the Upside,"Chris Cornell, Ben Shepherd",1996
Ugly Truth,Louder Than Love,Chris Cornell,1989
Uncovered,Louder Than Love,Chris Cornell,1989
Worse Dreams,King Animal,Chris Cornell,2012
Zero Chance,Down on the Upside,"Chris Cornell, Ben Shepherd",1996
